Hyperlink,Frequency
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2023-24/Minority_Cell_2023-24.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2023-24/Notice_Anti-ragging-2023-24.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2023-24/Notification_for_ISTE_STUDENT_AWARDS_2023.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2023-24/SC-ST-OBC_Grievance_Cell_2023-24.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2023-24/SGRC_2023-24.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2023-24/WRC-2023-24.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/Enrl_Notice_for_Open_Cat&Bio_Data_Form_2022_23.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/II_Mid_Term_Debarred_Notice_of_B.Tech.IISem_2022-23.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/NOTICE-Anti-ragging_PIETADMlNl2022_2023.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/Notice_for_Branch_Change_of_B.Tech-I_Year_students.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/Notice_for_RTU_Revaluation_for_B.Tech.VII-Sem.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/Notice_for_Suspension-HIMANSHU_RANA.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/Notice_Regarding_Renewal_Scholarships.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2022-23/Notice_regarding_reschedule_of_B.TechIII&V_Semester_Examination_2022-2023.jpg,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/Branch_Change_session_2021-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/Branch_Change_session_PIETADMIN2021-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/II_Mid_Term_Debarred_Notice_of_B.TechIV_Sem_2021-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/NOTICE-Anti-ragging_2021-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/Notice_Constitution_of_Campus_Level_Internal_Complaints_Committee.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/Notice_for_Suspension_Letter_no.PIET Admin_21-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/Regarding_Library_Book_submission_ Library_Notice_2021-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2021-22/VIII_Sem_Debarred_List_I_Mid_Term_2021-22.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/British_Council_Scholarship_for_Women_in_STEM_2020_21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/Celebration_of_GANDHI_JAYANTI_AND_SHASTRI_JAYANTI.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/Formation_of_SCSTOBC_Monitoring_Cell_in_the_College_for_Redressal_2020-21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/Minority_Notice_2020_21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/Regarding_Centre_City_Change_for_B.Tech_I&III_Sem_Students_ 2020-21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/REVISED_FIRST_MIDTERM_EXAMINATION_TIME_TABLE_OF_B.TECH_II_SEM_2020-21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/RTU_Examination_Notice_II_Semester_Back&Reback_2020-21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/RTU_Examination_Notice_IV_Semester_Back&Reback2020-21.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2020-21/VIII_Semester_Examination_Guidelines_issued_by_RTU.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2019-20/NOTICE_FOR_CHANGE_OF_BRANCH_2019-20.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2019-20/Notice_for_RTU_Revaluation_for_B.TechI-Sem.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2019-20/Notice_for_RTU_Revaluation_for_B.TechV-Sem.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2019-20/Report_of_blood_Donation_05.09.19.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2019-20/Uploads_for_Lockdown_Period.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2018-19/Appoinment_for_coordinator_club.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2018-19/Appointment_as_Incharge_for_updating_on_PIET_website_2018_2019.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2018-19/Notice-Blood-Donation-Camp.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2018-19/Notice_for_B.Tech_VI_SemExam_2018-19.pdf,1
http://www.piet.poornima.org/PIET_NAAC_SSR/notices/2018-19/Submigsion_of_Exafnination&lmprovement_Forms_of_B.Tech.pdf,1
